,movie,year,imdb,metascore,votes,n_imdb
0,Deadpool,2016,8.0,65,744911,80.0
1,Batman v Superman: Dawn of Justice,2016,6.6,44,537960,66.0
2,Captain America: Civil War,2016,7.8,75,510031,78.0
3,Suicide Squad,2016,6.1,40,483314,61.0
4,Arrival,2016,7.9,81,456621,79.0
5,Rogue One: A Star Wars Story,2016,7.8,65,432657,78.0
6,Doctor Strange,2016,7.5,72,432329,75.0
7,La La Land,2016,8.1,93,380232,81.0
8,Zootopia,2016,8.0,78,348712,80.0
9,Hacksaw Ridge - Die Entscheidung,2016,8.2,71,324874,82.0
10,X-Men: Apocalypse,2016,7.0,52,323427,70.0
11,Fantastic Beasts and Where to Find Them,2016,7.4,66,307884,74.0
12,Passengers,2016,7.0,41,277204,70.0
13,Split,2016,7.3,62,270403,73.0
14,10 Cloverfield Lane,2016,7.2,76,239758,72.0
15,The Jungle Book,2016,7.4,77,227089,74.0
16,The Nice Guys,2016,7.4,70,217451,74.0
17,The Accountant,2016,7.4,51,213650,74.0
18,Warcraft: The Beginning,2016,6.9,32,212475,69.0
19,Moonlight,2016,7.4,99,197732,74.0
20,Star Trek: Beyond,2016,7.1,68,196396,71.0
21,Moana,2016,7.6,81,194920,76.0
22,Finding Dory,2016,7.3,77,193992,73.0
23,Now You See Me 2,2016,6.5,46,193059,65.0
24,Manchester by the Sea,2016,7.8,96,190877,78.0
25,Nocturnal Animals,2016,7.5,67,180138,75.0
26,Sully,2016,7.5,74,179978,75.0
27,Jason Bourne,2016,6.6,58,176954,66.0
28,Ghostbusters: Answer the Call,2016,5.3,60,171881,53.0
29,The Conjuring 2,2016,7.4,65,169349,74.0
30,Don't Breathe,2016,7.1,71,162788,71.0
31,Lion,2016,8.1,69,162014,81.0
32,The Promise: Die Erinnerung bleibt,2016,6.1,49,161691,61.0
33,Hell or High Water,2016,7.6,88,155993,76.0
34,The Magnificent Seven,2016,6.9,54,154590,69.0
35,Assassin's Creed,2016,5.8,36,153743,58.0
36,Hidden Figures,2016,7.8,74,151863,78.0
37,Me Before You,2016,7.4,51,148111,74.0
38,Pets,2016,6.5,61,146952,65.0
39,Independence Day: Resurgence,2016,5.2,32,146664,52.0
40,Sausage Party,2016,6.2,66,146132,62.0
41,Captain Fantastic,2016,7.9,72,141390,79.0
42,The Legend of Tarzan,2016,6.3,44,139660,63.0
43,War Dogs,2016,7.1,57,138729,71.0
44,The Girl on the Train,2016,6.5,48,134908,65.0
45,Miss Peregrine's Home for Peculiar Children,2016,6.7,57,129849,67.0
46,Inferno,2016,6.2,42,124030,62.0
47,Logan,2017,8.1,77,492472,81.0
48,Wonder Woman,2017,7.5,76,422292,75.0
49,Dunkirk,2017,8.0,94,401732,80.0
50,Star Wars: The Last Jedi,2017,7.3,85,397007,73.0
51,Guardians of the Galaxy Vol. 2,2017,7.7,67,392864,77.0
52,Thor: Ragnarok,2017,7.9,74,356537,79.0
53,Spider-Man: Homecoming,2017,7.5,73,339008,75.0
54,Get Out,2017,7.7,84,316089,77.0
55,Blade Runner 2049,2017,8.1,81,310264,81.0
56,Baby Driver,2017,7.7,86,308364,77.0
57,It,2017,7.4,69,286422,74.0
58,Justice League,2017,6.6,45,263476,66.0
59,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,252520,82.0
60,John Wick: Chapter 2,2017,7.5,75,234550,75.0
61,The Shape of Water,2017,7.4,87,229555,74.0
62,Beauty and the Beast,2017,7.2,65,210419,72.0
63,Kong: Skull Island,2017,6.7,62,209850,67.0
64,Alien: Covenant,2017,6.4,65,203152,64.0
65,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,199520,66.0
66,Coco,2017,8.5,81,194087,85.0
67,Kingsman: The Golden Circle,2017,6.8,44,187837,68.0
68,Jumanji: Welcome to the Jungle,2017,7.0,58,180022,70.0
69,War for the Planet of the Apes,2017,7.5,82,177139,75.0
70,The Fate of the Furious,2017,6.7,56,163270,67.0
71,Life,2017,6.6,54,160180,66.0
72,Ghost in the Shell,2017,6.4,52,155560,64.0
73,King Arthur: Legend of the Sword,2017,6.8,41,151152,68.0
74,Murder on the Orient Express,2017,6.5,52,143578,65.0
75,The Greatest Showman,2017,7.7,48,137688,77.0
76,The Hitman's Bodyguard,2017,6.9,47,136462,69.0
77,Die Mumie,2017,5.5,34,135733,55.0
78,Lady Bird,2017,7.5,94,133569,75.0
79,Wind River,2017,7.8,73,131130,78.0
80,Bright,2017,6.4,29,129892,64.0
81,Atomic Blonde,2017,6.7,63,128035,67.0
82,Mother!,2017,6.7,75,123810,67.0
83,Valerian and the City of a Thousand Planets,2017,6.5,51,120662,65.0
84,Call Me by Your Name,2017,8.0,93,114070,80.0
85,Baywatch,2017,5.6,37,109810,56.0
86,American Made,2017,7.2,65,105838,72.0
87,Darkest Hour,2017,7.4,75,104121,74.0
88,Transformers: The Last Knight,2017,5.2,27,101928,52.0
89,The Lego Batman Movie,2017,7.3,75,101703,73.0
90,"I, Tonya",2017,7.5,77,98568,75.0
91,The Dark Tower,2017,5.7,34,92774,57.0
92,The Big Sick,2017,7.6,86,88927,76.0
93,Avengers: Infinity War,2018,8.7,68,395069,87.0
94,Black Panther,2018,7.5,88,349079,75.0
95,Deadpool 2,2018,8.1,66,175420,81.0
96,Ready Player One,2018,7.7,64,165233,77.0
97,A Quiet Place,2018,7.8,82,152969,78.0
98,Annihilation,2018,7.0,79,150124,70.0
99,Solo: A Star Wars Story,2018,7.1,62,108399,71.0
100,Tomb Raider,2018,6.4,48,102520,64.0
101,Game Night,2018,7.0,66,91015,70.0
102,Red Sparrow,2018,6.6,53,84831,66.0
103,Jurassic World: Fallen Kingdom,2018,6.6,51,80641,66.0
104,The Cloverfield Paradox,2018,5.6,37,67184,56.0
105,Maze Runner: The Death Cure,2018,6.3,51,64690,63.0
106,Pacific Rim: Uprising,2018,5.7,44,58172,57.0
107,Incredibles 2,2018,8.2,80,55157,82.0
108,The Commuter,2018,6.3,56,53467,63.0
109,Rampage,2018,6.2,45,51827,62.0
110,Ataris Reise,2018,8.1,82,49298,81.0
111,"Love, Simon",2018,7.8,72,47085,78.0
112,Den of Thieves,2018,7.0,49,42700,70.0
113,Hereditary,2018,7.6,87,39169,76.0
114,Ocean's Eight,2018,6.4,61,36429,64.0
115,12 Strong,2018,6.6,54,32004,66.0
116,Fifty Shades Freed,2018,4.4,31,31198,44.0
117,Ant-Man and the Wasp,2018,7.6,70,30475,76.0
118,Insidious: The Last Key,2018,5.7,49,29685,57.0
119,Death Wish,2018,6.4,31,27896,64.0
120,Blockers,2018,6.4,69,25753,64.0
121,When We First Met,2018,6.4,36,25132,64.0
122,A Wrinkle in Time,2018,4.2,53,20652,42.0
123,Mute,2018,5.4,35,19832,54.0
124,Padmaavat,2018,7.0,63,17442,70.0
125,The Titan,2018,4.8,33,16983,48.0
126,Peter Hase,2018,6.6,51,16887,66.0
127,"Game Over, Man!",2018,5.4,32,16475,54.0
128,Braven,2018,6.3,61,16164,63.0
129,I Feel Pretty,2018,4.9,47,16188,49.0
